schedule,seed,block,temperature,eave,final_energy,escaped
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,28,5.8149737003,29.3646126839,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,29,5.23347633027,34.5944743966,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,30,4.71012869725,27.8911483664,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,31,4.23911582752,27.335146219,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,32,3.81520424477,28.1284471028,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,33,3.43368382029,23.1506969586,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,34,3.09031543826,25.3240579552,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,35,2.78128389444,21.7145937092,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,1,100,42.6680343461,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,2,90,46.6773361944,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,3,81,44.5876880393,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,4,72.9,45.4367109342,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,5,65.61,51.0679386278,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,6,59.049,43.376965483,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,7,53.1441,46.5700345295,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,8,47.82969,46.1267387075,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,9,43.046721,46.7659970502,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,10,38.7420489,44.6074625577,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,11,34.86784401,43.0110119403,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,12,31.381059609,40.3751383963,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,13,28.2429536481,49.3171220967,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,14,25.4186582833,44.7395294231,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,15,22.876792455,47.0327892279,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,16,20.5891132095,45.056519167,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,17,18.5302018885,45.5860788832,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,18,16.6771816997,44.1566121902,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,19,15.0094635297,44.5780811436,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,20,13.5085171767,40.2710475188,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,21,12.1576654591,37.8846151153,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,22,10.9418989132,38.878972568,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,23,9.84770902184,41.0170560239,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,24,8.86293811965,34.8615084362,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,25,7.97664430769,35.893388791,34.0042193864,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1965,26,7.17897987692,28.6023810191,34.0042193864,0
